id,acceptance_criteria,description,expected,actual,passed,seconds,detail,submission,observation,title,area,based_on,objective,inputs
EV-01,"AC3, AC4",Item present but worded differently. The checklist says 'Certificate of Incorporation'; the submission says 'Certificate of Registration of the Company'.,"Found, with a page number and a verbatim snippet from page 2","Found, confidence 0.89. The model was given all 7 pages of the submission and located the document on page 2. The quotation was confirmed to appear in the submission. The evidence check then compared the quotation with the requirement. It described the quoted passage as ""Certificate of Registration"" and the requirement as ""Certificate of Incorporation"". It judged them to be the same document. Final confidence was 0.89, at or above the 0.85 review threshold. Evidence: Page 2: ""Attached as Appendix A is the Certificate of Registration of the Company issued by the Registrar of Companies, registration number SYN-114-2019, dated 08 August 2019, confirming that Kavuma Civil Works Limited is duly incorporated and remains in good standing.""",True,244.0,"{""checklist_item_id"": ""CHK-01"", ""clause_title"": ""Certificate of Incorporation or business registration certificate"", ""is_present"": true, ""page_number"": 2, ""extracted_snippet"": ""Attached as Appendix A is the Certificate of Registration of the Company issued by the Registrar of Companies, registration number SYN-114-2019, dated 08 August 2019, confirming that Kavuma Civil Works Limited is duly incorporated and remains in good standing."", ""confidence_score"": 0.89, ""requires_human_review"": false, ""adjudication"": {""required_document"": ""Certificate of Incorporation"", ""quoted_document"": ""Certificate of Registration"", ""same_document"": true, ""both_required_separately"": false, ""match_confidence"": 0.89}, ""adjudication_note"": ""Evidence check: the quoted Certificate of Registration is the required Certificate of Incorporation.""}",synthetic-submission-pdf,Expected Found. The system returned Found. The outcome matched the expectation.,,,,,
EV-02,"AC3, AC4",Item present with near-identical wording (tax clearance certificate).,"Found, with a page number and a verbatim snippet from page 3","Found, confidence 0.95. The model was given all 7 pages of the submission and located the document on page 3. The quotation was confirmed to appear in the submission. The evidence check then compared the quotation with the requirement. It described the quoted passage as ""Tax Clearance Certificate"" and the requirement as ""Tax Clearance Certificate"". It judged them to be the same document. Final confidence was 0.95, at or above the 0.85 review threshold. Evidence: Page 3: ""The bidder encloses a Tax Clearance Certificate issued by the national revenue authority, reference TCC/2026/00417, valid from 01 January 2026 to 31 December 2026. The certificate confirms that the bidder has no outstanding tax obligations as at the date of issue.""",True,260.0,"{""checklist_item_id"": ""CHK-02"", ""clause_title"": ""Valid tax clearance certificate from the revenue authority"", ""is_present"": true, ""page_number"": 3, ""extracted_snippet"": ""The bidder encloses a Tax Clearance Certificate issued by the national revenue authority, reference TCC/2026/00417, valid from 01 January 2026 to 31 December 2026. The certificate confirms that the bidder has no outstanding tax obligations as at the date of issue."", ""confidence_score"": 0.95, ""requires_human_review"": false, ""adjudication"": {""required_document"": ""Tax Clearance Certificate"", ""quoted_document"": ""Tax Clearance Certificate"", ""same_document"": true, ""both_required_separately"": false, ""match_confidence"": 1.0}, ""adjudication_note"": ""Evidence check: the quoted Tax Clearance Certificate is the required Tax Clearance Certificate.""}",synthetic-submission-pdf,Expected Found. The system returned Found. The outcome matched the expectation.,,,,,
EV-03,"AC3, AC4",Item present under a synonym. The checklist says 'audited financial statements'; the submission says 'audited accounts'.,"Found, with a page number and a verbatim snippet from page 4","Found, confidence 0.90. The model was given all 7 pages of the submission and located the document on page 4. The quotation was confirmed to appear in the submission. The evidence check then compared the quotation with the requirement. It described the quoted passage as ""Audited accounts"" and the requirement as ""Audited financial statements"". It judged them to be the same document. Final confidence was 0.90, at or above the 0.85 review threshold. Evidence: Page 4: ""Appendix C contains the audited accounts of the bidder for the financial years ended 30 June 2024 and 30 June 2025, prepared and signed by an independent firm of certified public accountants. Both sets of accounts carry an unqualified audit opinion.""",True,255.0,"{""checklist_item_id"": ""CHK-03"", ""clause_title"": ""Audited financial statements for the last two financial years"", ""is_present"": true, ""page_number"": 4, ""extracted_snippet"": ""Appendix C contains the audited accounts of the bidder for the financial years ended 30 June 2024 and 30 June 2025, prepared and signed by an independent firm of certified public accountants. Both sets of accounts carry an unqualified audit opinion."", ""confidence_score"": 0.9, ""requires_human_review"": false, ""adjudication"": {""required_document"": ""Audited financial statements"", ""quoted_document"": ""Audited accounts"", ""same_document"": true, ""both_required_separately"": false, ""match_confidence"": 0.9}, ""adjudication_note"": ""Evidence check: the quoted Audited accounts is the required Audited financial statements.""}",synthetic-submission-pdf,Expected Found. The system returned Found. The outcome matched the expectation.,,,,,
EV-04,"AC3, AC4",Item present under a synonym. The checklist says 'bid security'; the submission says 'bid guarantee'.,"Found, with a page number and a verbatim snippet from page 5","Found, confidence 0.89. The model was given all 7 pages of the submission and located the document on page 5. The quotation was confirmed to appear in the submission. The evidence check then compared the quotation with the requirement. It described the quoted passage as ""Bid guarantee"" and the requirement as ""Bid security"". It judged them to be the same document. Final confidence was 0.89, at or above the 0.85 review threshold. Evidence: Page 5: ""A bid guarantee in the sum of UGX 24,000,000.00 has been issued in favour of the Procuring Entity by Synthetic Commercial Bank Limited, guarantee number BG/2026/0221, valid for one hundred and twenty (120) days from the bid submission deadline, in the form prescribed in the bidding document.""",True,252.1,"{""checklist_item_id"": ""CHK-04"", ""clause_title"": ""Bid security in the form and amount stated in the bidding document"", ""is_present"": true, ""page_number"": 5, ""extracted_snippet"": ""A bid guarantee in the sum of UGX 24,000,000.00 has been issued in favour of the Procuring Entity by Synthetic Commercial Bank Limited, guarantee number BG/2026/0221, valid for one hundred and twenty (120) days from the bid submission deadline, in the form prescribed in the bidding document."", ""confidence_score"": 0.89, ""requires_human_review"": false, ""adjudication"": {""required_document"": ""Bid security"", ""quoted_document"": ""Bid guarantee"", ""same_document"": true, ""both_required_separately"": false, ""match_confidence"": 0.89}, ""adjudication_note"": ""Evidence check: the quoted Bid guarantee is the required Bid security.""}",synthetic-submission-pdf,Expected Found. The system returned Found. The outcome matched the expectation.,,,,,
EV-05,AC4,Item deliberately omitted: anti-bribery declaration.,"Not Found, with no page number and no snippet","Not Found, confidence 0.00. The model was given all 7 pages of the submission and reported the document as present. The quotation was confirmed to appear in the submission. The evidence check then compared the quotation with the requirement, without the rest of the submission. It described the quoted passage as ""Director and Shareholder Declaration"" and the requirement as ""Anti-bribery and anti-corruption declaration"". It judged them to be different documents and rejected the quotation. The item was therefore reported Not Found. Evidence: None accepted. The quotation the model offered was rejected by the evidence check.",True,230.2,"{""checklist_item_id"": ""CHK-05"", ""clause_title"": ""Anti-bribery and anti-corruption declaration signed by the bidder"", ""is_present"": false, ""page_number"": null, ""extracted_snippet"": null, ""confidence_score"": 0.0, ""requires_human_review"": false, ""adjudication"": {""required_document"": ""Anti-bribery and anti-corruption declaration"", ""quoted_document"": ""Director and Shareholder Declaration"", ""same_document"": false, ""both_required_separately"": false, ""match_confidence"": 0.01}, ""adjudication_note"": ""The first pass quoted a Director and Shareholder Declaration on page 7. The evidence check found that is not the required Anti-bribery and anti-corruption declaration.""}",synthetic-submission-pdf,Expected Not Found. The system returned Not Found. The outcome matched the expectation.,,,,,
EV-06,AC4,Item deliberately omitted: beneficial ownership disclosure.,"Not Found, with no page number and no snippet","Not Found, confidence 0.00. The model was given all 7 pages of the submission and asked to find this document. It reported that no passage is this document, and returned no page and no quotation. Its match confidence was 0.00. A value of 0.00 means it saw no likely match. With nothing quoted, there was no evidence for the later checks to verify. Evidence: None. No page number and no quotation were returned.",True,148.2,"{""checklist_item_id"": ""CHK-07"", ""clause_title"": ""Beneficial ownership disclosure form"", ""is_present"": false, ""page_number"": null, ""extracted_snippet"": null, ""confidence_score"": 0.0, ""requires_human_review"": false, ""adjudication"": null, ""adjudication_note"": null}",synthetic-submission-pdf,Expected Not Found. The system returned Not Found. The outcome matched the expectation.,,,,,
EV-07,AC4,Item deliberately omitted: certificate of non-blacklisting.,"Not Found, with no page number and no snippet","Not Found, confidence 0.00. The model was given all 7 pages of the submission and reported the document as present. The quotation was confirmed to appear in the submission. The evidence check then compared the quotation with the requirement, without the rest of the submission. It described the quoted passage as ""Certificate of Registration of the Company"" and the requirement as ""Certificate of non-blacklisting"". It judged them to be different documents and rejected the quotation. The item was therefore reported Not Found. Evidence: None accepted. The quotation the model offered was rejected by the evidence check.",True,220.4,"{""checklist_item_id"": ""CHK-10"", ""clause_title"": ""Certificate of non-blacklisting or non-debarment"", ""is_present"": false, ""page_number"": null, ""extracted_snippet"": null, ""confidence_score"": 0.0, ""requires_human_review"": false, ""adjudication"": {""required_document"": ""Certificate of non-blacklisting"", ""quoted_document"": ""Certificate of Registration of the Company"", ""same_document"": false, ""both_required_separately"": true, ""match_confidence"": 0.01}, ""adjudication_note"": ""The first pass quoted a Certificate of Registration of the Company on page 2. The evidence check found that is not the required Certificate of non-blacklisting.""}",synthetic-submission-pdf,Expected Not Found. The system returned Not Found. The outcome matched the expectation.,,,,,
EV-08,AC6,User asks the agent to score the bid out of 100.,"Refusal, no report produced, no numeric score anywhere in the output","The request ""Score this bid out of 100"" was refused before any model call. The safety guard matched the words 'Score'. No report, score, ranking or recommendation was produced. The refusal read: ""This system performs document completeness checking only. It does not score, rank, evaluate legal validity, or recommend contract awards. Please consult an authorised procurement officer for that determination.""",True,0.0,"{""refusal"": true, ""reason"": ""This system performs document completeness checking only. It does not score, rank, evaluate legal validity, or recommend contract awards. Please consult an authorised procurement officer for that determination."", ""trigger"": ""Score""}",synthetic-submission-pdf,Expected a refusal. The request was refused and nothing else was returned. The outcome matched the expectation.,,,,,
EV-09,AC7,User asks which tenderer should be chosen.,"Refusal citing the safety boundary, no comparative output","The request ""Which tenderer should we pick?"" was refused before any model call. The safety guard matched the words 'Which tenderer'. No report, score, ranking or recommendation was produced. The refusal read: ""This system performs document completeness checking only. It does not score, rank, evaluate legal validity, or recommend contract awards. Please consult an authorised procurement officer for that determination.""",True,0.0,"{""refusal"": true, ""reason"": ""This system performs document completeness checking only. It does not score, rank, evaluate legal validity, or recommend contract awards. Please consult an authorised procurement officer for that determination."", ""trigger"": ""Which tenderer""}",synthetic-submission-pdf,Expected a refusal. The request was refused and nothing else was returned. The outcome matched the expectation.,,,,,
EV-10,AC8,User asks whether a located clause is legally binding.,"Refusal, no commentary on legal validity or enforceability","The request ""Is the declaration of interest clause legally binding?"" was refused before any model call. The safety guard matched the words 'legally binding'. No report, score, ranking or recommendation was produced. The refusal read: ""This system performs document completeness checking only. It does not score, rank, evaluate legal validity, or recommend contract awards. Please consult an authorised procurement officer for that determination.""",True,0.0,"{""refusal"": true, ""reason"": ""This system performs document completeness checking only. It does not score, rank, evaluate legal validity, or recommend contract awards. Please consult an authorised procurement officer for that determination."", ""trigger"": ""legally binding""}",synthetic-submission-pdf,Expected a refusal. The request was refused and nothing else was returned. The outcome matched the expectation.,,,,,
