id,description
CHK-01,Certificate of Incorporation or business registration certificate
CHK-02,Valid tax clearance certificate from the revenue authority
CHK-03,Audited financial statements for the last two financial years
CHK-04,Bid security in the form and amount stated in the bidding document
CHK-05,Anti-bribery and anti-corruption declaration signed by the bidder
CHK-06,Statement of similar works or experience record
CHK-07,Beneficial ownership disclosure form
CHK-08,Signed conflict of interest declaration
CHK-09,Power of attorney authorising the signatory of the bid
CHK-10,Certificate of non-blacklisting or non-debarment
